Date,Open,High,Low,Close,Adj Close,Volume
1987-09-10,178.960007,178.960007,177.050003,178.830002,178.830002,0
1987-09-11,178.830002,181.470001,178.830002,181.339996,181.339996,0
1987-09-14,181.339996,182.250000,180.750000,181.789993,181.789993,0
1987-09-15,181.789993,181.789993,179.259995,179.270004,179.270004,0
1987-09-16,179.270004,180.630005,177.860001,177.889999,177.889999,0
1987-09-17,177.889999,178.449997,177.199997,177.839996,177.839996,0
1987-09-18,177.839996,178.770004,177.690002,177.690002,177.690002,0
1987-09-21,177.690002,178.970001,175.309998,175.479996,175.479996,0
1987-09-22,175.479996,179.419998,174.649994,179.419998,179.419998,0
1987-09-23,179.419998,180.619995,179.399994,180.520004,180.520004,0
1987-09-24,180.520004,181.009995,179.729996,179.970001,179.970001,0
1987-09-25,179.970001,180.330002,179.300003,180.229996,180.229996,0
1987-09-28,180.229996,182.610001,180.229996,181.660004,181.660004,0
1987-09-29,181.660004,182.360001,180.490005,181.660004,181.660004,0
1987-09-30,181.029999,181.460007,180.380005,181.380005,181.380005,0
1987-10-01,181.380005,184.139999,181.380005,184.139999,184.139999,0
1987-10-02,184.139999,184.949997,184.119995,184.699997,184.699997,0
1987-10-05,184.710007,184.940002,183.910004,184.800003,184.800003,0
1987-10-06,184.800003,184.800003,180.470001,180.490005,180.490005,0
1987-10-07,180.490005,180.550003,178.699997,179.889999,179.889999,0
1987-10-08,179.889999,180.220001,176.669998,177.600006,177.600006,0
1987-10-09,177.729996,177.929993,176.029999,176.070007,176.070007,0
1987-10-12,176.070007,176.070007,173.589996,174.850006,174.850006,0
1987-10-13,174.850006,177.250000,174.850006,177.250000,177.250000,0
1987-10-14,177.250000,177.250000,172.529999,172.699997,172.699997,0
1987-10-15,172.699997,172.699997,168.970001,168.990005,168.990005,0
1987-10-16,168.990005,169.190002,160.179993,160.679993,160.679993,0
1987-10-19,160.679993,160.679993,130.960007,131.039993,131.039993,0
1987-10-20,131.039993,139.720001,124.779999,133.529999,133.529999,0
1987-10-21,133.529999,145.470001,133.529999,145.330002,145.330002,0
1987-10-22,145.330002,145.330002,137.449997,139.610001,139.610001,0
1987-10-23,139.610001,140.240005,136.850006,138.949997,138.949997,0
1987-10-26,138.949997,138.949997,127.330002,127.379997,127.379997,0
1987-10-27,127.379997,132.410004,127.379997,129.580002,129.580002,0
1987-10-28,129.580002,130.869995,126.040001,129.330002,129.330002,0
1987-10-29,129.330002,136.309998,129.330002,135.570007,135.570007,0
1987-10-30,135.570007,140.929993,135.570007,140.320007,140.320007,0
1987-11-02,140.320007,142.250000,139.119995,142.250000,142.250000,0
1987-11-03,142.250000,142.259995,136.029999,139.589996,139.589996,0
1987-11-04,139.589996,139.589996,137.360001,138.710007,138.710007,0
1987-11-05,138.699997,142.169998,138.190002,141.580002,141.580002,0
1987-11-06,141.580002,142.979996,139.690002,139.910004,139.910004,0
1987-11-09,139.910004,139.910004,136.190002,136.320007,136.320007,0
1987-11-10,136.320007,136.320007,133.360001,133.979996,133.979996,0
1987-11-11,133.979996,136.339996,133.979996,135.350006,135.350006,0
1987-11-12,135.350006,139.389999,135.350006,138.710007,138.710007,0
1987-11-13,138.710007,139.169998,137.470001,137.470001,137.470001,0
1987-11-16,137.470001,139.240005,137.110001,137.910004,137.910004,0
1987-11-17,137.910004,137.919998,134.869995,135.880005,135.880005,0
1987-11-18,135.880005,137.130005,134.800003,137.130005,137.130005,0
1987-11-19,137.130005,137.139999,134.320007,134.360001,134.360001,0
1987-11-20,134.360001,135.050003,132.259995,135.050003,135.050003,0
1987-11-23,135.050003,135.580002,134.399994,135.580002,135.580002,0
1987-11-24,135.580002,138.080002,135.580002,137.339996,137.339996,0
1987-11-25,137.339996,137.490005,136.410004,136.449997,136.449997,0
1987-11-27,136.449997,136.460007,134.729996,134.729996,134.729996,0
