,Date,PHIA,VOW3,INGA,CS,OR,DTE,BMW,KER,BAS,SAN,AI,VIV,ENEL,KNEBV,IBE,VNA,ENI,ALV,RI,SIE,AMS,SAN_MC,DG,ABI,SU,LIN,EL,ADYEN,FP,DPW,BNP,ENGI,AD,MUV2,CRH,ISP,ADS,BN,DAI,BAYN,SAF,DB1,SAP,ASML,AIR,MC
30,1995-05-08,1.091314,,,0.908542,,,,,,,,,,,,,,,,,,,,,,,,,,,4.207202,,7.3606,,2.978473,,,5.066082,,,,,,,,
31,1995-05-09,1.102032,,,0.908542,,,,,,,,,,,,,,,,,,,,,,,,,,,4.207202,,7.386249,,2.978473,,,5.066082,,,,,,,,
32,1995-05-10,1.0966719999999999,,,0.908542,,,,,,,,,,,,,,,,,,,,,,,,,,,4.207202,,7.3606,,2.978473,,,5.066082,,,,,,,,
33,1995-05-11,1.0966719999999999,,,0.908542,,,,,,,,,,,,,,,,,,,,,,,,,,,4.207202,,7.2067190000000005,,2.978473,,,5.066082,,,,,,,,
34,1995-05-12,1.098459,,,0.908542,,,,,,,,,,,,,,,,,,,,,,,,,,,4.207202,,7.181074000000001,,2.978473,,,5.066082,,,,,,,,
35,1995-05-15,1.0948870000000002,,,0.908542,,,,,,,,,,,,,,,,,,,,,,,,,,,4.207202,,7.078489,,2.978473,,,5.066082,,,,,,,,
36,1995-05-16,1.0841690000000002,,,0.908542,,,,,,,,,,,,,,,,,,,,,,,,,,,4.207202,,7.112503,,2.978473,,,5.801629,,,,,,,,
37,1995-05-17,1.06988,,,0.908542,,,,,,,,,,,,,,,,,,,,,,,,,,,4.207202,,6.957884,,2.978473,,,5.801629,,,,,,,,
38,1995-05-18,1.0948870000000002,,,0.908542,,,,,,,,,,,,,,,,,,,,,,,,,,,4.207202,,6.829034,,2.978473,,,5.801629,,,,,,,,
39,1995-05-19,1.078811,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.207202,,6.880575,,2.978473,,,5.801629,,,,,,,,
40,1995-05-22,1.11632,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.207202,,6.854804,,2.978473,,,5.801629,,,,,,,,
41,1995-05-23,1.130608,,2.3784009999999998,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.207202,,6.854804,,2.978473,,,5.801629,,,,,,,,
42,1995-05-24,1.14847,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.207202,,6.803261999999999,,2.978473,,,5.801629,,,,,,,,
43,1995-05-25,1.14847,,2.409183,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.207202,,6.957884,,2.966746,,,5.801629,,,,,,,,
44,1995-05-26,1.12525,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.207202,,7.086734,,2.966746,,,5.801629,,,,,,,,
45,1995-05-29,1.1216780000000002,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.207202,,,,,,,5.801629,,,,,,,,
46,1995-05-30,1.12525,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.207202,,7.138274000000001,,3.0488299999999997,,,5.801629,,,,,,,,
47,1995-05-31,1.12525,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.207202,,7.0351919999999994,,3.0488299999999997,,,5.801629,,,,,,,,
48,1995-06-01,1.128823,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.207202,,7.112503,,3.0488299999999997,,,5.801629,,,,,,,,
49,1995-06-02,1.123464,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.207202,,7.0351919999999994,,3.0488299999999997,,,5.801629,,,,,,,,
50,1995-06-05,1.123464,,2.4203759999999996,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.207202,,7.009423,,3.001925,,,5.801629,,,,,,,,
51,1995-06-06,1.128823,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.207202,,7.0351919999999994,,3.001925,,,5.801629,,,,,,,,
52,1995-06-07,1.135966,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.207202,,7.0351919999999994,,3.001925,,,5.801629,,,,,,,,
53,1995-06-08,1.143111,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.207202,,6.983652,,3.001925,,,5.801629,,,,,,,,
54,1995-06-09,1.1341809999999999,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.207202,,6.983652,,3.001925,,,5.801629,,,,,,,,
55,1995-06-12,1.130608,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.207202,,6.983652,,3.001925,,,5.801629,,,,,,,,
56,1995-06-13,1.146684,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.207202,,6.932113,,3.001925,,,5.801629,,,,,,,,
57,1995-06-14,1.143111,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.207202,,6.932113,,3.025377,,,5.801629,,,,,,,,
58,1995-06-15,1.1574,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.207202,,6.957884,,3.095735,,,5.801629,,,,,,,,
59,1995-06-16,1.1502569999999999,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.207202,,6.983652,,3.095735,,,5.801629,,,,,,,,
60,1995-06-19,1.162759,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.207202,,7.112503,,3.095735,,,5.801629,,,,,,,,
61,1995-06-20,1.1663299999999999,,2.3979880000000002,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.207202,,7.164042,,3.095735,,,5.801629,,,,,,,,
62,1995-06-21,1.1645450000000002,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.207202,,7.370203,,3.095735,,,5.801629,,,,,,,,
63,1995-06-22,1.173475,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.207202,,7.318664999999999,,3.095735,,,5.801629,,,,,,,,
64,1995-06-23,1.1752610000000001,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.207202,,7.318664999999999,,3.095735,,,5.801629,,,,,,,,
65,1995-06-26,1.1824059999999998,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.207202,,7.267123,,3.095735,,,5.801629,,,,,,,,
66,1995-06-27,1.189551,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.588592,,7.370203,,3.142639,,,5.801629,,,,,,,,
67,1995-06-28,1.1699030000000001,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.588592,,7.344433,,3.154366,,,5.801629,,,,,,,,
68,1995-06-29,1.1699030000000001,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.588592,,7.267123,,3.189546,,,5.801629,,,,,,,,
69,1995-06-30,1.1716879999999998,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.588592,,7.318664999999999,,3.23645,,,5.801629,,,,,,,,
70,1995-07-03,1.187764,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.588592,,7.344433,,3.23645,,,5.801629,,,,,,,,
71,1995-07-04,1.2074120000000002,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.588592,,,,,,,5.801629,,,,,,,,
72,1995-07-05,1.243134,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.588592,,7.318664999999999,,3.306808,,,5.801629,,,,,,,,
73,1995-07-06,1.291359,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.588592,,7.318664999999999,,3.2833550000000002,,,5.801629,,,,,,,,
74,1995-07-07,1.344941,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.588592,,7.2155830000000005,,3.341986,,,5.801629,,,,,,,,
75,1995-07-10,1.409241,,,1.062295,,,,,,,,,,,,,,,,,,,,,,,,,,,4.588592,,7.241353,,3.330261,,,5.801629,,,,,,,,
